manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,abnormality_code,abnormality_name,local_datetime,abnormality_smr,abnomrmality_onmonitor,abnormality_onmonitor_id,abnormality_action_level,abnormality_type,abnormality_type_id
KOMATSU,PC300,8M0,J40060,2019-01-10T02:37:42+08:00,-3.207032,115.0407,DAZQKR,AIR CONTROLLER CAN COMMUNICATION 2 + COMMUNICATION ERROR (COMPO LINE),2019-01-09T05:51:36+07:00,398537.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40049,2019-01-10T01:19:00+07:00,0.087799,117.349766,B@BAZK,ENGINE OIL + DECREASE IN QUANTITY,2019-01-09T07:24:47+07:00,741979.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC300,8M0,J40048,2019-01-10T01:10:03+07:00,-0.063433,117.295333,B@BAZK,ENGINE OIL + DECREASE IN QUANTITY,2019-01-09T16:08:32+07:00,592027.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC300,8M0,J40040,2019-01-10T02:40:00+08:00,-3.552166,115.639167,CA559,RAIL PRESS LOW ERROR,2019-01-09T21:51:47+07:00,717192.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40040,2019-01-10T02:40:00+08:00,-3.552166,115.639167,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T23:59:39+07:00,717248.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40040,2019-01-10T02:40:00+08:00,-3.552166,115.639167,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T00:01:15+07:00,716162.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40039,2019-01-09T02:14:00+08:00,-0.7019,116.929,D19JKZ,PERSONAL CODE RELAY + OPEN CIRCUT OR SHORT CIRCUIT,2019-01-09T20:27:33+07:00,848652.0,Yes,1.0,L03,Electrical,0.0
KOMATSU,PC300,8M0,J40039,2019-01-09T02:14:00+08:00,-0.7019,116.929,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T08:16:31+07:00,848060.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40039,2019-01-09T02:14:00+08:00,-0.7019,116.929,CA272,IMV/PCV1 OPEN ERROR,2019-01-09T21:53:29+07:00,848652.0,Yes,1.0,L03,Electrical,0.0
KOMATSU,PC300,8M0,J40039,2019-01-09T02:14:00+08:00,-0.7019,116.929,CA153,CHG AIR TEMP SENSOR HIGH ERROR,2019-01-09T21:52:43+07:00,848652.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40039,2019-01-09T02:14:00+08:00,-0.7019,116.929,CA123,CHG AIR PRESS SENSOR LOW ERROR,2019-01-09T21:52:39+07:00,848652.0,Yes,1.0,L03,Electrical,0.0
KOMATSU,PC300,8M0,J40039,2019-01-09T02:14:00+08:00,-0.7019,116.929,B@BAZK,ENGINE OIL + DECREASE IN QUANTITY,2019-01-09T05:32:15+07:00,847940.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC300,8M0,J40034,2019-01-10T02:20:00+08:00,-6.8789,111.920166,DHA4KA,AIR CLEANER CLOGGING SENSOR(1) + OPEN CIRCUIT,2019-01-09T18:23:23+07:00,550985.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40034,2019-01-10T02:20:00+08:00,-6.8789,111.920166,CA429,WATER IN FUEL SENSOR LOW ERROR,2019-01-09T18:23:26+07:00,550985.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40034,2019-01-10T02:20:00+08:00,-6.8789,111.920166,CA429,WATER IN FUEL SENSOR LOW ERROR,2019-01-09T06:55:57+07:00,550362.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40034,2019-01-10T02:20:00+08:00,-6.8789,111.920166,AA10NX,AIR CLEANER ELEMENT + CLOGGING,2019-01-09T22:31:01+07:00,551215.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC300,8M0,J40034,2019-01-10T02:20:00+08:00,-6.8789,111.920166,AA10NX,AIR CLEANER ELEMENT + CLOGGING,2019-01-09T07:53:49+07:00,550420.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC300,8M0,J40033,2019-01-10T01:16:17+07:00,-0.424133,117.274033,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T09:28:43+07:00,703833.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40033,2019-01-10T01:16:17+07:00,-0.424133,117.274033,B@BAZK,ENGINE OIL + DECREASE IN QUANTITY,2019-01-09T09:28:41+07:00,703833.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC300,8M0,J40030,2019-01-10T01:12:22+07:00,-1.114833,114.479699,DWJ0KA,PUMP MERGER-DIVIDER SOLENOID VALVE + OPEN CIRCUIT,2019-01-09T13:26:18+07:00,1433871.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40030,2019-01-10T01:12:22+07:00,-1.114833,114.479699,DAZQKR,AIR CONTROLLER CAN COMMUNICATION 2 + COMMUNICATION ERROR (COMPO LINE),2019-01-09T07:54:38+07:00,1433859.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40028,2019-01-10T01:07:00+07:00,-1.109167,115.114199,B@BAZK,ENGINE OIL + DECREASE IN QUANTITY,2019-01-09T00:54:45+07:00,883175.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC300,8M0,J40026,2019-01-10T01:18:20+07:00,-0.373499,117.207766,CA559,RAIL PRESS LOW ERROR,2019-01-09T20:38:49+07:00,394721.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40025,2019-01-10T01:42:00+07:00,-3.116667,115.196533,DHA4KA,AIR CLEANER CLOGGING SENSOR(1) + OPEN CIRCUIT,2019-01-09T00:06:18+07:00,618257.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40025,2019-01-10T01:42:00+07:00,-3.116667,115.196533,CA428,WATER IN FUEL SENSOR HIGH ERROR,2019-01-09T00:06:21+07:00,618257.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40025,2019-01-10T01:42:00+07:00,-3.116667,115.196533,CA2555,GRID HTR RELAY VOLT LOW ERROR,2019-01-09T00:13:19+07:00,618263.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40025,2019-01-10T01:42:00+07:00,-3.116667,115.196533,CA132,THROTTLE SENSOR LOW ERROR,2019-01-09T09:30:05+07:00,618678.0,Yes,1.0,L03,Electrical,0.0
KOMATSU,PC300,8M0,J40025,2019-01-10T01:42:00+07:00,-3.116667,115.196533,B@BCZK,COOLANT + DECREASE IN QUANTITY,2019-01-09T00:06:47+07:00,618257.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC300,8M0,J40025,2019-01-10T01:42:00+07:00,-3.116667,115.196533,B@BAZK,ENGINE OIL + DECREASE IN QUANTITY,2019-01-09T10:46:28+07:00,618750.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC300,8M0,J40025,2019-01-10T01:42:00+07:00,-3.116667,115.196533,AB00KE,ALTERNATOR + DEFECTIVE CHARGING,2019-01-09T00:07:37+07:00,618258.0,Yes,1.0,L03,Mechanical,1.0
KOMATSU,PC300,8M0,J40025,2019-01-10T01:42:00+07:00,-3.116667,115.196533,AA10NX,AIR CLEANER ELEMENT + CLOGGING,2019-01-09T00:07:07+07:00,618257.0,Yes,1.0,L01,Mechanical,1.0
KOMATSU,PC300,8M0,J40024,2019-01-10T01:40:21+07:00,-6.306599,106.9919,DXA8KA,PC-EPC(F) SOLENOIDE VALVE + OPEN CIRCUIT,2019-01-09T10:01:06+07:00,851319.0,Yes,1.0,L03,Electrical,0.0
KOMATSU,PC300,8M0,J40024,2019-01-10T01:40:21+07:00,-6.306599,106.9919,DV20KB,BACK-UP ALARM BUZZER + SHORT CIRCUIT,2019-01-09T08:33:45+07:00,851319.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40024,2019-01-10T01:40:21+07:00,-6.306599,106.9919,DHSDMA,BUCKET DUMP PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T08:55:24+07:00,851319.0,Yes,1.0,L01,Electrical,0.0
KOMATSU,PC300,8M0,J40024,2019-01-10T01:40:21+07:00,-6.306599,106.9919,DHSCMA,ARM DUMP PPC PRESSURE SENSOR + DEFECTIVE FUNCTION,2019-01-09T08:55:36+07:00,851319.0,Yes,1.0,L01,Electrical,0.0
