manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,local_date,daily_actual_work_value
KOMATSU,WA500,6R,60253,2019-01-10T00:37:00+07:00,-6.153499,106.934366,2019-01-09,0.0
KOMATSU,WA500,6R,60249,2019-01-10T00:04:00+07:00,-6.153766,106.9344,2019-01-09,0.0
KOMATSU,WA500,6R,60248,2019-01-09T00:42:00+07:00,-6.156766,106.934199,2019-01-08,0.0
KOMATSU,WA500,6R,60246,2019-01-03T00:09:00+07:00,-6.153599,106.936966,2019-01-02,0.0
KOMATSU,WA500,6R,60245,2019-01-09T01:07:00+07:00,-0.305966,117.045933,2019-01-08,267.0
KOMATSU,WA500,6R,60242,2019-01-10T01:04:22+07:00,-3.683866,115.648166,2019-01-09,0.0
KOMATSU,WA500,6R,60238,2019-01-10T01:31:00+07:00,-0.303733,117.047533,2019-01-09,517.0
KOMATSU,WA500,6R,60233,2019-01-10T01:39:00+07:00,-3.562899,115.638866,2019-01-09,616.0
KOMATSU,WA500,6R,60230,2019-01-10T01:06:00+07:00,-3.598633,115.630732,2019-01-09,573.0
KOMATSU,WA500,6R,60229,2019-01-10T01:10:00+07:00,-0.608099,117.282999,2019-01-09,369.0
KOMATSU,WA500,6R,60228,2019-01-10T02:13:00+08:00,-0.989033,114.3895,2019-01-09,628.0
KOMATSU,WA500,6R,60221,2019-01-10T01:05:27+07:00,-3.7513,115.468232,2019-01-09,0.0
KOMATSU,WA500,6R,60220,2019-01-10T02:18:00+08:00,-1.218066,114.803499,2019-01-09,35.0
KOMATSU,WA500,6R,60219,2018-11-12T02:48:26+08:00,-1.2169,114.806332,2018-11-11,0.0
KOMATSU,WA500,6R,60218,2019-01-10T01:07:28+07:00,-3.310599,116.029933,2019-01-09,2.0
KOMATSU,WA500,6R,60214,2019-01-10T02:00:00+08:00,-3.817999,115.308366,2019-01-09,50.0
KOMATSU,WA500,6R,60213,2019-01-10T02:20:00+08:00,-1.212733,114.801667,2019-01-09,621.0
KOMATSU,WA500,6R,60210,2019-01-10T00:53:00+07:00,-3.751266,115.468232,2019-01-09,0.0
KOMATSU,WA500,6R,60209,2019-01-07T18:37:00+07:00,-3.310066,116.030299,2019-01-09,335.0
KOMATSU,WA500,6R,60204,2019-01-10T01:38:00+07:00,-1.124766,114.496366,2019-01-09,686.0
KOMATSU,WA500,6R,60146,2019-01-10T01:39:00+07:00,-3.736166,115.655866,2019-01-09,274.0
KOMATSU,WA500,6R,60145,2019-01-10T01:44:00+07:00,-3.736766,115.655999,2019-01-09,301.0
KOMATSU,WA500,6R,60144,2019-01-10T01:04:00+07:00,2.215132,117.6039,2019-01-09,403.0
KOMATSU,WA500,6R,60140,2019-01-10T01:27:00+07:00,2.164566,117.412,2019-01-09,358.0
KOMATSU,WA500,6R,60139,2019-01-09T00:39:00+07:00,-3.751166,115.4684,2019-01-08,0.0
KOMATSU,WA500,6R,60138,2019-01-10T00:50:00+07:00,-3.751199,115.4683,2019-01-09,0.0
KOMATSU,WA500,6R,60137,2019-01-09T02:37:00+08:00,-0.841099,115.5301,2019-01-08,4.0
KOMATSU,WA500,6R,60132,2019-01-10T01:13:00+07:00,-3.736266,115.654033,2019-01-09,416.0
KOMATSU,WA500,6R,60131,2019-01-06T01:06:00+07:00,-0.586067,114.791966,2019-01-05,423.0
KOMATSU,WA500,6R,60125,2019-01-08T15:42:00+07:00,-3.736332,115.654333,2019-01-09,361.0
KOMATSU,WA500,6R,60124,2019-01-10T01:02:00+07:00,-3.737066,115.655633,2019-01-09,147.0
KOMATSU,WA500,6R,60122,2019-01-07T17:34:00+08:00,-1.056833,114.684199,2019-01-09,326.0
KOMATSU,WA500,6R,60121,2019-01-10T02:24:00+08:00,-1.057967,114.684633,2019-01-09,142.0
KOMATSU,WA500,6R,60119,2019-01-10T02:36:00+08:00,-2.108533,114.870433,2019-01-09,790.0
KOMATSU,WA500,6R,60118,2019-01-10T02:38:00+08:00,2.040766,117.448866,2019-01-09,9.0
KOMATSU,WA500,6R,60117,2019-01-10T02:04:00+08:00,-2.363932,115.581332,2019-01-09,0.0
KOMATSU,WA500,6R,60116,2019-01-10T02:17:00+08:00,-1.216633,114.806533,2019-01-09,367.0
KOMATSU,WA500,6R,60115,2018-09-22T02:16:00+08:00,1.916466,117.291199,2018-09-21,43.0
KOMATSU,WA500,6R,60111,2019-01-10T02:42:00+08:00,-1.053066,114.681933,2019-01-09,55.0
KOMATSU,WA500,6R,60110,2019-01-10T02:10:00+08:00,-0.990433,114.3902,2019-01-09,714.0
