manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,local_date,daily_caution_caution_name,daily_caution_caution_id
KOMATSU,WA500,6R,60219,2018-11-12T02:48:26+08:00,-1.2169,114.806332,2018-11-04,Engine coolant temperature,1.0
KOMATSU,WA500,6R,60121,2019-01-10T02:24:00+08:00,-1.057967,114.684633,2018-06-11,Brake oil temperature,19.0
KOMATSU,WA500,6R,60116,2019-01-10T02:17:00+08:00,-1.216633,114.806533,2018-11-25,Engine coolant temperature,1.0
KOMATSU,WA500,6R,60110,2019-01-10T02:10:00+08:00,-0.990433,114.3902,2018-12-12,Radiator coolant level,6.0
KOMATSU,WA480,6,92007,2019-01-10T01:09:00+07:00,-2.988466,114.785066,2018-11-05,Engine oil level,4.0
KOMATSU,WA480,6,92006,2019-01-10T02:08:00+08:00,-3.047299,115.152233,2018-12-22,Radiator coolant level,6.0
KOMATSU,WA480,6,91874,2019-01-10T02:29:00+08:00,-2.889433,115.270933,2019-01-02,Engine oil level,4.0
KOMATSU,WA480,6,91873,2019-01-10T01:43:00+07:00,-2.991766,114.783699,2018-04-20,Brake oil temperature,19.0
KOMATSU,WA480,6,91807,2019-01-10T01:20:00+07:00,-1.126266,114.4914,2018-12-13,Brake oil temperature,19.0
KOMATSU,WA480,6,91743,2019-01-09T10:10:00+08:00,-6.869199,111.459333,2018-11-28,Radiator coolant level,6.0
KOMATSU,WA480,6,91742,2019-01-08T19:11:00+07:00,2.165,117.3834,2018-04-30,Radiator coolant level,6.0
KOMATSU,WA480,6,91741,2019-01-09T12:47:00+07:00,2.163633,117.383166,2018-10-19,Torque converter oil temperature,17.0
KOMATSU,WA480,6,91346,2019-01-06T12:43:00+08:00,-2.896332,115.2677,2019-01-09,Radiator coolant level,6.0
KOMATSU,WA480,6,91339,2019-01-10T02:07:00+08:00,-0.986466,114.389799,2019-01-09,Engine coolant temperature,1.0
KOMATSU,WA480,6,91338,2019-01-10T01:14:00+08:00,-0.977666,114.381033,2018-12-30,Engine coolant temperature,1.0
KOMATSU,WA480,6,91337,2018-12-25T19:13:00+08:00,-0.562199,117.011233,2019-01-08,Brake oil temperature,19.0
KOMATSU,WA480,6,91336,2019-01-10T01:22:00+07:00,-3.699199,115.558232,2019-01-05,Engine coolant temperature,1.0
KOMATSU,WA480,6,91318,2019-01-10T01:20:00+07:00,-3.745966,115.645299,2019-01-09,Water separator monitor,30.0
KOMATSU,WA480,6,91318,2019-01-10T01:20:00+07:00,-3.745966,115.645299,2019-01-09,Hydraulic oil temperature,8.0
KOMATSU,WA480,6,91318,2019-01-10T01:20:00+07:00,-3.745966,115.645299,2019-01-09,Engine oil level,4.0
KOMATSU,WA480,6,91318,2019-01-10T01:20:00+07:00,-3.745966,115.645299,2019-01-09,Engine coolant temperature,1.0
KOMATSU,WA480,6,91317,2019-01-10T01:25:00+07:00,-3.745999,115.645533,2019-01-09,Air cleaner clogging,5.0
KOMATSU,WA480,6,91315,2019-01-10T01:33:00+07:00,-0.305732,117.045933,2018-11-21,Torque converter oil temperature,17.0
KOMATSU,WA480,6,91314,2019-01-10T01:43:00+08:00,-3.749867,103.756466,2018-08-25,Engine oil level,4.0
KOMATSU,WA480,6,91298,2019-01-10T00:24:00+07:00,-3.699333,115.558266,2018-10-26,Engine oil level,4.0
KOMATSU,WA480,6,91297,2019-01-09T02:23:00+08:00,-0.562133,117.011033,2019-01-06,Water separator monitor,30.0
KOMATSU,WA470,6,91670,2019-01-10T01:09:00+07:00,-0.374233,101.213099,2018-02-09,Engine oil level,4.0
KOMATSU,WA470,6,91383,2018-01-25T21:02:00+07:00,-0.665299,100.285633,2018-12-07,Water separator monitor,30.0
KOMATSU,WA380Z,6,67692,2019-01-09T20:36:00+07:00,-7.006466,110.366199,2019-01-09,Engine coolant temperature,1.0
KOMATSU,WA380Z,6,67665,2019-01-10T02:13:00+08:00,-2.2959,114.873733,2017-10-14,Air cleaner clogging,5.0
KOMATSU,WA380Z,6,67664,2018-06-23T03:53:00+07:00,-4.184699,121.611432,2018-06-19,Air cleaner clogging,5.0
KOMATSU,WA380Z,6,67654,2018-11-19T22:31:00+07:00,-4.186866,121.613166,2018-03-25,Engine oil level,4.0
KOMATSU,WA380Z,6,67653,2018-07-19T02:58:00+07:00,-4.185933,121.612066,2018-07-28,Engine oil level,4.0
KOMATSU,WA380Z,6,67629,2019-01-10T01:12:00+07:00,-4.183499,121.612632,2018-12-15,Radiator coolant level,6.0
KOMATSU,WA380Z,6,67617,2018-12-18T12:55:00+07:00,-4.185066,121.6132,2018-06-24,Radiator coolant level,6.0
KOMATSU,WA380Z,6,67595,2019-01-10T01:04:00+07:00,-4.184867,121.6151,2019-01-03,Water separator monitor,30.0
KOMATSU,WA380Z,6,67594,2019-01-02T00:54:00+07:00,-4.184033,121.612299,2019-01-01,Engine coolant temperature,1.0
KOMATSU,WA380Z,6,67566,2019-01-10T01:25:00+07:00,-4.1846,121.615366,2018-09-19,Engine coolant temperature,1.0
KOMATSU,WA380Z,6,67565,2018-12-12T16:55:00+07:00,-4.184233,121.612066,2018-05-05,Water separator monitor,30.0
KOMATSU,WA380Z,6,67565,2018-12-12T16:55:00+07:00,-4.184233,121.612066,2018-05-05,Engine oil level,4.0
KOMATSU,WA380Z,6,67559,2019-01-10T01:00:00+07:00,-3.842399,103.796833,2018-12-31,Battery charge,3.0
KOMATSU,WA380Z,6,67559,2019-01-10T01:00:00+07:00,-3.842399,103.796833,2018-12-31,Engine coolant temperature,1.0
KOMATSU,WA380Z,6,67556,2019-01-02T00:04:00+07:00,0.710599,122.529799,2018-08-10,Engine coolant temperature,1.0
KOMATSU,WA380Z,6,67413,2019-01-10T01:19:00+07:00,-6.016067,105.953166,2018-12-19,Engine coolant temperature,1.0
KOMATSU,WA380Z,6,67412,2018-09-30T08:47:00+07:00,-6.0208,105.954066,2018-12-18,Engine oil level,4.0
KOMATSU,WA380Z,6,67411,2018-12-30T15:56:00+07:00,-6.707299,108.395233,2018-09-30,Air cleaner clogging,5.0
KOMATSU,WA380Z,6,67308,2019-01-10T01:00:00+07:00,-7.590533,112.672533,2018-10-10,Engine coolant temperature,1.0
KOMATSU,WA380Z,6,67288,2019-01-10T01:21:00+07:00,-7.727666,110.898599,2019-01-09,Water separator monitor,30.0
KOMATSU,WA380Z,6,67288,2019-01-10T01:21:00+07:00,-7.727666,110.898599,2019-01-09,Radiator coolant level,6.0
KOMATSU,WA380Z,6,67288,2019-01-10T01:21:00+07:00,-7.727666,110.898599,2019-01-09,Engine coolant temperature,1.0
KOMATSU,WA380Z,6,67287,2019-01-10T01:25:00+07:00,-6.2765,107.122866,2019-01-08,Engine coolant temperature,1.0
