manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_origin,gps_datum,gps_latitude,gps_longitude
KOMATSU,WD600,3,50413,2017-02-25T02:27:00+08:00,measure,WGS84,-3.749666,103.752933
KOMATSU,WD600,3,50383,2018-05-07T12:15:00+07:00,measure,WGS84,-0.424799,114.833666
KOMATSU,WD600,3,50372,2018-09-05T00:23:00+07:00,measure,WGS84,-0.408766,114.839867
KOMATSU,WB93R,5E0,F64540,2019-01-10T00:15:00+07:00,measure,WGS84,-6.153666,106.934532
KOMATSU,WB93R,5E0,F64539,2018-11-29T00:18:00+07:00,measure,WGS84,-6.1557,106.934933
KOMATSU,WB93R,5E0,F64538,2019-01-10T00:03:00+07:00,measure,WGS84,-6.153666,106.934666
KOMATSU,WB93R,5E0,F64536,2019-01-10T00:02:00+07:00,measure,WGS84,-6.153699,106.934633
KOMATSU,WB93R,5E0,F64535,2019-01-10T00:05:00+07:00,measure,WGS84,-6.153599,106.934666
KOMATSU,WB93R,5E0,F64534,2019-01-09T00:04:00+07:00,measure,WGS84,-6.153633,106.934666
KOMATSU,WB93R,5E0,F64533,2019-01-10T00:42:00+07:00,measure,WGS84,-6.153533,106.934466
KOMATSU,WB93R,5E0,F64532,2019-01-09T00:17:00+07:00,measure,WGS84,-6.153699,106.9344
KOMATSU,WB93R,5E0,F64530,2019-01-10T00:10:00+07:00,measure,WGS84,-6.153832,106.934333
KOMATSU,WB93R,5E0,F64528,2019-01-09T00:11:00+07:00,measure,WGS84,-6.153666,106.934532
KOMATSU,WB93R,5E0,F64502,2019-01-09T00:21:00+07:00,measure,WGS84,-6.153533,106.934532
KOMATSU,WB93R,5E0,F64500,2019-01-09T00:49:00+07:00,measure,WGS84,-6.153567,106.934466
KOMATSU,WB93R,5E0,F64499,2019-01-10T00:08:00+07:00,measure,WGS84,-6.153567,106.934566
KOMATSU,WB93R,5E0,F64498,2018-10-31T00:51:00+07:00,measure,WGS84,-6.153699,106.934366
KOMATSU,WB93R,5E0,F64497,2019-01-10T00:50:00+07:00,measure,WGS84,-6.153567,106.934633
KOMATSU,WB93R,5E0,F64495,2019-01-10T00:10:00+07:00,measure,WGS84,-6.153567,106.934733
KOMATSU,WB93R,5E0,F64494,2019-01-09T00:05:00+07:00,measure,WGS84,-6.153567,106.934666
KOMATSU,WB93R,5E0,F64493,2019-01-10T00:07:00+07:00,measure,WGS84,-6.153567,106.934532
KOMATSU,WB93R,5E0,F64492,2019-01-10T00:28:00+07:00,measure,WGS84,-6.153567,106.934633
KOMATSU,WB93R,5E0,F64491,2019-01-10T00:10:00+07:00,measure,WGS84,-6.153666,106.934466
KOMATSU,WB93R,5E0,F64490,2019-01-10T00:09:00+07:00,measure,WGS84,-6.153633,106.934466
KOMATSU,WB93R,5E0,F64488,2019-01-09T00:08:00+07:00,measure,WGS84,-6.153666,106.934566
KOMATSU,WB93R,5E0,F64486,2019-01-09T00:04:00+07:00,measure,WGS84,-6.153599,106.934433
KOMATSU,WB93R,5E0,F64480,2019-01-10T00:12:00+07:00,measure,WGS84,-6.153666,106.934566
KOMATSU,WB93R,5E0,F64477,2019-01-10T00:13:00+07:00,measure,WGS84,-6.153633,106.9346
KOMATSU,WB93R,5E0,F64475,2019-01-10T00:25:00+07:00,measure,WGS84,-6.153699,106.934566
KOMATSU,WB93R,5E0,F64474,2019-01-10T00:26:00+07:00,measure,WGS84,-6.153699,106.934466
KOMATSU,WB93R,5E0,F64472,2019-01-10T00:23:00+07:00,measure,WGS84,-6.153666,106.934466
KOMATSU,WB93R,5E0,F64471,2019-01-10T00:37:00+07:00,measure,WGS84,-6.153666,106.934532
KOMATSU,WB93R,5E0,F64470,2019-01-09T00:19:00+07:00,measure,WGS84,-6.153666,106.934532
KOMATSU,WB93R,5E0,F64469,2019-01-10T00:10:00+07:00,measure,WGS84,-6.153666,106.934666
KOMATSU,WB93R,5E0,F64468,2019-01-10T00:16:00+07:00,measure,WGS84,-6.153599,106.934699
KOMATSU,WB93R,5E0,F64467,2019-01-10T01:19:00+07:00,measure,WGS84,-2.092199,113.085366
KOMATSU,WB93R,5E0,F64466,2019-01-10T01:26:00+07:00,measure,WGS84,-7.1326,112.609532
KOMATSU,WB93R,5E0,F64463,2019-01-10T00:54:00+07:00,measure,WGS84,-0.3252,114.834266
KOMATSU,WB93R,5E0,F64449,2019-01-10T01:43:00+07:00,measure,WGS84,-3.322967,113.733266
KOMATSU,WB93R,5E0,F64446,2018-12-06T21:24:00+07:00,measure,WGS84,0.675633,117.226733
KOMATSU,WB93R,5E0,F64445,2019-01-10T01:08:00+07:00,measure,WGS84,0.977367,116.4826
KOMATSU,WB93R,5E0,F64439,2019-01-10T01:36:00+07:00,measure,WGS84,-1.766733,110.492133
KOMATSU,WB93R,5E0,F64436,2019-01-09T10:23:00+07:00,measure,WGS84,3.923699,116.916432
KOMATSU,WB93R,5E0,F64427,2018-12-27T10:14:00+07:00,measure,WGS84,-6.156699,106.934099
KOMATSU,WB93R,5E0,F64426,2018-11-27T17:11:00+07:00,measure,WGS84,-6.156766,106.934133
KOMATSU,WB93R,5E0,F64425,2019-01-10T01:19:00+07:00,measure,WGS84,-1.358766,110.656166
KOMATSU,WB93R,5E0,F64424,2019-01-09T07:24:00+07:00,measure,WGS84,-1.553733,112.732266
KOMATSU,WB93R,5E0,F64423,2019-01-10T00:16:00+07:00,measure,WGS84,-1.280266,116.356033
KOMATSU,WB93R,5E0,F64422,2019-01-10T01:11:00+07:00,measure,WGS84,-0.6439,115.739233
KOMATSU,WB93R,5E0,F64421,2019-01-08T02:42:00+09:00,measure,WGS84,-8.615233,122.407199
KOMATSU,WB93R,5E0,F64345,2019-01-10T00:38:00+07:00,measure,WGS84,-3.535999,103.881733
KOMATSU,WB93R,5E0,F64344,2018-12-31T00:10:00+07:00,measure,WGS84,-1.721432,103.1314
KOMATSU,WB93R,5E0,F64342,2019-01-10T00:42:00+07:00,measure,WGS84,-0.826033,103.460599
KOMATSU,WB93R,5E0,F64341,2019-01-08T16:22:00+07:00,measure,WGS84,-5.061733,119.541332
KOMATSU,WB93R,5E0,F64296,2019-01-10T01:02:00+07:00,measure,WGS84,-7.905266,110.317266
KOMATSU,WB93R,5E0,F64292,2019-01-10T01:21:00+07:00,measure,WGS84,4.0365,117.094
KOMATSU,WB93R,5E0,F64289,2018-12-28T09:55:00+07:00,measure,WGS84,3.379199,117.104766
KOMATSU,WB93R,5E0,F64116,2018-10-26T09:00:00+07:00,measure,WGS84,-6.5051,106.870566
KOMATSU,WB93R,5E0,F64115,2019-01-09T23:27:00+07:00,measure,WGS84,-0.822299,119.887066
KOMATSU,WB93R,5E0,F64114,2019-01-02T01:02:00+07:00,measure,WGS84,-6.142899,106.832333
KOMATSU,WB93R,5E0,F64113,2019-01-10T00:09:00+07:00,measure,WGS84,0.878599,128.287199
KOMATSU,WB93R,5E0,F64111,2018-05-16T15:22:00+07:00,measure,WGS84,-6.156766,106.934066
KOMATSU,WB93R,5E0,F64109,2019-01-09T00:26:00+07:00,measure,WGS84,1.278966,124.6334
KOMATSU,WB93R,5E0,F64107,2019-01-10T00:39:00+07:00,measure,WGS84,-3.195533,121.079466
KOMATSU,WB93R,5E0,F64105,2019-01-08T17:46:00+07:00,measure,WGS84,-3.790766,104.175166
KOMATSU,WB93R,5E0,F64100,2018-11-08T11:55:00+07:00,measure,WGS84,-1.623033,103.643966
KOMATSU,WB93R,5E0,F64099,2019-01-10T00:55:00+07:00,measure,WGS84,0.300132,116.580333
KOMATSU,WB93R,5E0,F64065,2019-01-10T01:06:00+07:00,measure,WGS84,-2.261266,104.312999
KOMATSU,WB93R,5E0,F64057,2019-01-10T01:39:00+07:00,measure,WGS84,-0.759066,100.658166
KOMATSU,WB93R,5E0,F64056,2018-12-19T10:01:00+07:00,measure,WGS84,1.628033,99.201833
KOMATSU,WB93R,5E0,F64055,2017-12-25T13:36:00+08:00,measure,WGS84,0.314833,116.463832
KOMATSU,WB93R,5E0,F64053,2018-11-25T19:51:00+07:00,measure,WGS84,4.684699,96.841699
KOMATSU,WB93R,5E0,F64048,2019-01-10T01:07:00+07:00,measure,WGS84,0.070233,110.695366
KOMATSU,WB93R,5E0,F64024,2019-01-09T00:34:00+07:00,measure,WGS84,-5.017466,119.575299
KOMATSU,WB93R,5E0,F64023,2017-10-17T01:30:00+07:00,measure,WGS84,3.072166,97.974899
KOMATSU,WB93R,5E0,F64022,2019-01-10T00:37:00+07:00,measure,WGS84,-3.798966,115.370366
KOMATSU,WB93R,5E0,F64021,2019-01-09T23:48:00+07:00,measure,WGS84,-0.822533,119.8877
KOMATSU,WB93R,5E0,F64020,2018-12-13T11:01:00+07:00,measure,WGS84,-1.4546,120.642333
KOMATSU,WB93R,5E0,F64019,2018-12-23T13:58:00+07:00,measure,WGS84,1.062199,121.677066
KOMATSU,WB93R,5E0,F64015,2019-01-07T15:16:00+07:00,measure,WGS84,-7.609233,112.756699
KOMATSU,WB93R,5E0,F63995,2018-12-27T08:59:00+07:00,measure,WGS84,-6.594966,110.665266
KOMATSU,WB93R,5E0,F63994,2019-01-10T00:34:00+07:00,measure,WGS84,0.779233,117.667632
KOMATSU,WB93R,5E0,F63993,2019-01-10T01:26:00+07:00,measure,WGS84,2.487666,98.800467
KOMATSU,WB93R,5E0,F63877,2017-05-18T01:22:00+07:00,measure,WGS84,-1.851966,102.9832
KOMATSU,WB93R,5E0,F63876,2019-01-10T01:00:00+07:00,measure,WGS84,-6.937466,110.528166
KOMATSU,WB93R,5E0,F63875,2017-04-18T15:41:00+07:00,measure,WGS84,-0.926067,119.882967
KOMATSU,WB93R,5E0,F63869,2019-01-10T00:42:00+07:00,measure,WGS84,-6.996166,110.456067
KOMATSU,WB93R,5E0,F63866,2018-12-30T16:12:00+07:00,measure,WGS84,-3.820666,119.635233
KOMATSU,WB93R,5E0,F63800,2019-01-10T01:44:00+07:00,measure,WGS84,-1.076166,100.371699
KOMATSU,WB93R,5E0,F63799,2019-01-08T17:35:00+07:00,measure,WGS84,4.1145,96.299867
KOMATSU,WB93R,5E0,F63798,2017-09-23T01:22:00+07:00,measure,WGS84,-4.025233,105.491633
KOMATSU,WA800,3E0,70135,2019-01-10T01:44:00+07:00,measure,WGS84,-6.5183,106.942967
KOMATSU,WA800,3E0,70101,2019-01-10T01:34:00+07:00,measure,WGS84,-6.511466,106.945633
KOMATSU,WA800,3E0,70100,2018-12-15T15:26:00+07:00,measure,WGS84,-6.496733,106.923567
KOMATSU,WA800,3E0,70098,2019-01-10T01:39:00+07:00,measure,WGS84,-6.512666,106.945433
KOMATSU,WA800,3,50150,2019-01-10T01:23:00+07:00,measure,WGS84,0.538699,116.136266
KOMATSU,WA800,3,50149,2019-01-10T01:35:00+07:00,measure,WGS84,0.295166,116.624066
KOMATSU,WA800,3,50148,2019-01-10T01:03:00+07:00,measure,WGS84,0.525866,116.114899
KOMATSU,WA800,3,50147,2019-01-10T02:09:00+08:00,measure,WGS84,-2.165033,115.501766
KOMATSU,WA800,3,50146,2019-01-10T02:38:00+08:00,measure,WGS84,-2.159833,115.566266
KOMATSU,WA800,3,50144,2019-01-10T02:05:00+08:00,measure,WGS84,-2.305966,115.479233
KOMATSU,WA800,3,50143,2018-10-12T23:52:00+08:00,measure,WGS84,-2.304532,115.478766
KOMATSU,WA800,3,50142,2019-01-10T02:15:00+08:00,measure,WGS84,-2.231332,115.501366
KOMATSU,WA800,3,50141,2019-01-10T02:02:00+08:00,measure,WGS84,-2.194799,115.498832
KOMATSU,WA800,3,50140,2016-04-24T09:34:00+08:00,measure,WGS84,-2.181833,115.540399
KOMATSU,WA800,3,50139,2016-05-23T10:30:00+08:00,measure,WGS84,-2.182299,115.540066
KOMATSU,WA800,3,50138,2015-12-04T23:24:00+08:00,measure,WGS84,-2.2671,115.495566
KOMATSU,WA800,3,50137,2014-12-13T03:36:00+08:00,measure,WGS84,-2.183033,115.551166
KOMATSU,WA800,3,50136,2019-01-10T02:07:00+08:00,measure,WGS84,-2.2144,115.5351
KOMATSU,WA800,3,50135,2017-06-01T11:11:00+08:00,measure,WGS84,-2.215166,115.534799
KOMATSU,WA800,3,50133,2015-05-10T01:04:00+08:00,measure,WGS84,0.5996,117.438133
KOMATSU,WA800,3,50132,2014-09-25T10:19:00+08:00,measure,WGS84,0.602766,117.437233
KOMATSU,WA800,3,50129,2018-06-01T01:11:00+08:00,measure,WGS84,-2.232,115.501233
KOMATSU,WA600,3A,52725,2019-01-07T01:00:00+07:00,measure,WGS84,-6.156733,106.934199
KOMATSU,WA600,3A,52724,2019-01-10T01:40:00+07:00,measure,WGS84,-6.156733,106.934133
KOMATSU,WA600,3A,52722,2018-08-20T15:17:00+07:00,measure,WGS84,-6.157199,106.934233
KOMATSU,WA600,3A,52721,2019-01-10T01:30:00+07:00,measure,WGS84,3.724633,117.216199
KOMATSU,WA600,3A,52720,2019-01-10T01:42:00+07:00,measure,WGS84,3.726332,117.217367
KOMATSU,WA600,3A,52719,2019-01-10T01:22:00+07:00,measure,WGS84,-2.9707,115.196599
KOMATSU,WA600,3A,52718,2019-01-10T02:38:00+08:00,measure,WGS84,3.724833,117.214699
KOMATSU,WA600,3A,52717,2019-01-10T02:35:00+08:00,measure,WGS84,0.122632,117.366466
KOMATSU,WA600,3A,52716,2019-01-09T01:27:00+07:00,measure,WGS84,0.985033,117.666033
KOMATSU,WA600,3A,52715,2019-01-10T01:05:00+07:00,measure,WGS84,-3.224233,114.997399
KOMATSU,WA600,3A,52714,2019-01-10T01:34:00+07:00,measure,WGS84,-2.956633,115.208166
