manufacturer,unit_model,model_type,unit_serial_number,gps_datetime,gps_latitude,gps_longitude,comm_setting_group,comm_setting_group_id,comm_setting_group_td,db_group,db_group_id,db_group_country,customer,customer_id,customer_code,customer_country
KOMATSU,WD600,3,50413,2017-02-25T02:27:00+08:00,-3.749666,103.752933,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PAMAPERSADA NUSANTARA,300710.0,10611,ID
KOMATSU,WD600,3,50383,2018-05-07T12:15:00+07:00,-0.424799,114.833666,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,ASMIN KOALINDO TUHUP,304912.0,25143,ID
KOMATSU,WD600,3,50372,2018-09-05T00:23:00+07:00,-0.408766,114.839867,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,ASMIN KOALINDO TUHUP,304912.0,25143,ID
KOMATSU,WB93R,5E0,F64467,2019-01-10T01:19:00+07:00,-2.092199,113.085366,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,WINDU NABATINDO LESTARI,332377.0,17593,ID
KOMATSU,WB93R,5E0,F64445,2019-01-10T01:08:00+07:00,0.977367,116.4826,Cr Indonesia 7,W0024,7.0,PTUT,PTUT,ID,NUSANTARA AGRO SENTOSA,504005.0,33154,ID
KOMATSU,WB93R,5E0,F64439,2019-01-10T01:36:00+07:00,-1.766733,110.492133,Cr Indonesia 7,W0024,7.0,PTUT,PTUT,ID,SENTOSA PRIMA AGRO,499308.0,36233,ID
KOMATSU,WB93R,5E0,F64436,2019-01-09T10:23:00+07:00,3.923699,116.916432,Cr Indonesia 7,W0024,7.0,PTUT,PTUT,ID,BUDI LUHUR MAJU BERKEMBANG,504012.0,11058,ID
KOMATSU,WB93R,5E0,F64425,2019-01-10T01:19:00+07:00,-1.358766,110.656166,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PERMATA SAWIT MANDIRI,496844.0,38468,ID
KOMATSU,WB93R,5E0,F64424,2019-01-09T07:24:00+07:00,-1.553733,112.732266,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,LANGGENG MAKMUR SEJAHTER,502489.0,38457,ID
KOMATSU,WB93R,5E0,F64423,2019-01-10T00:16:00+07:00,-1.280266,116.356033,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,FAJAR SURYA SWADAYA,500485.0,38188,ID
KOMATSU,WB93R,5E0,F64422,2019-01-10T01:11:00+07:00,-0.6439,115.739233,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,KUTAI AGRO LESTARI,458939.0,35057,ID
KOMATSU,WB93R,5E0,F64421,2019-01-08T02:42:00+09:00,-8.615233,122.407199,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,NUSA TENGGARA JAYA,303549.0,26357,ID
KOMATSU,WB93R,5E0,F64345,2019-01-10T00:38:00+07:00,-3.535999,103.881733,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,PELITA WIRA SEJAHTERA,313719.0,25599,ID
KOMATSU,WB93R,5E0,F64344,2018-12-31T00:10:00+07:00,-1.721432,103.1314,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BEND.PENGELUARAN DINAS T,483200.0,37682,ID
KOMATSU,WB93R,5E0,F64342,2019-01-10T00:42:00+07:00,-0.826033,103.460599,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BEND.RUTIN/GAJI DINAS PU,483219.0,37638,ID
KOMATSU,WB93R,5E0,F64341,2019-01-08T16:22:00+07:00,-5.061733,119.541332,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BEND.PRO.BALAI BESAR PEL,482543.0,37236,ID
KOMATSU,WB93R,5E0,F64296,2019-01-10T01:02:00+07:00,-7.905266,110.317266,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BEND.RUTIN BADAN LINGKUN,488683.0,38074,ID
KOMATSU,WB93R,5E0,F64292,2019-01-10T01:21:00+07:00,4.0365,117.094,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BUDI LUHUR MAJU BERKEMBA,324957.0,11058,ID
KOMATSU,WB93R,5E0,F64289,2018-12-28T09:55:00+07:00,3.379199,117.104766,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,BUDI LUHUR MAJU BERKEMBA,324957.0,11058,ID
KOMATSU,WB93R,5E0,F64111,2018-05-16T15:22:00+07:00,-6.156766,106.934066,Wh Indonesia 7,W0031,7.0,PTUT,PTUT,ID,SATUAN KERJA DIREKTORAT,493124.0,37483,ID
